City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
56,Vaini,TO,2020-05-08 22:19:34,-21.2,-175.2,82.4,83,75,14.99,broken clouds,0,0
57,Saskylakh,RU,2020-05-08 22:19:57,71.92,114.08,2.71,93,70,4.12,broken clouds,0,0
58,Atuona,PF,2020-05-08 22:15:07,-9.8,-139.03,81.03,75,62,17.45,light rain,0,0
59,Vardo,NO,2020-05-08 22:19:34,70.37,31.11,32.0,82,75,5.82,broken clouds,0,0
60,Codrington,AU,2020-05-08 22:20:01,-38.27,141.97,50.23,81,100,10.25,light rain,0,0
61,Northport,US,2020-05-08 22:22:43,33.23,-87.58,64.4,88,90,4.7,overcast clouds,0,0
62,Mount Isa,AU,2020-05-08 22:19:34,-20.73,139.5,59.0,67,40,3.76,scattered clouds,0,0
63,Cape Town,ZA,2020-05-08 22:18:22,-33.93,18.42,64.99,88,0,10.29,clear sky,0,0
64,Hebi,CN,2020-05-08 22:22:43,35.9,114.19,52.2,90,36,3.49,scattered clouds,0,0
65,Tuktoyaktuk,CA,2020-05-08 22:20:16,69.45,-133.04,30.2,80,5,17.22,clear sky,0,0
66,Thompson,CA,2020-05-08 22:20:00,55.74,-97.86,35.6,59,20,10.29,few clouds,0,0
67,Itambe,BR,2020-05-08 22:22:44,-15.24,-40.62,67.95,89,100,4.92,light rain,0,0
68,Chowchilla,US,2020-05-08 22:22:44,37.12,-120.26,93.99,18,1,5.82,clear sky,0,0
69,Upernavik,GL,2020-05-08 22:19:35,72.79,-56.15,22.37,89,98,9.22,overcast clouds,0,0
70,Berkakit,RU,2020-05-08 22:22:44,56.58,124.77,32.97,89,80,5.84,broken clouds,0,0
71,Paracuru,BR,2020-05-08 22:22:44,-3.41,-39.03,84.0,71,41,14.0,scattered clouds,0,0
72,Cabo San Lucas,MX,2020-05-08 22:19:41,22.89,-109.91,88.0,19,5,19.46,clear sky,0,0
73,Caucaia,BR,2020-05-08 22:22:45,-3.74,-38.65,84.0,78,66,5.82,broken clouds,0,0
74,College,US,2020-05-08 22:19:38,64.86,-147.8,66.0,20,90,8.05,overcast clouds,0,0
75,Flinders,AU,2020-05-08 22:22:45,-34.58,150.86,73.0,41,7,10.0,clear sky,0,0
76,Teguldet,RU,2020-05-08 22:19:57,57.31,88.17,44.94,72,96,4.47,overcast clouds,0,0
77,Tacna,PE,2020-05-08 22:22:45,-18.01,-70.25,66.2,82,0,6.93,clear sky,0,0
78,Christchurch,NZ,2020-05-08 22:20:53,-43.53,172.63,57.0,87,55,11.41,broken clouds,0,0
79,Geraldton,AU,2020-05-08 22:19:53,-28.77,114.6,53.6,66,25,13.87,scattered clouds,0,0
80,Port Alfred,ZA,2020-05-08 22:19:48,-33.59,26.89,63.0,97,23,3.47,few clouds,0,0
81,Missoula,US,2020-05-08 22:20:25,47.02,-113.8,63.0,36,1,12.75,clear sky,0,0
82,Saint-Philippe,RE,2020-05-08 22:19:43,-21.36,55.77,71.6,60,85,9.17,overcast clouds,0,0
83,Ilulissat,GL,2020-05-08 22:18:26,69.22,-51.1,33.8,59,91,5.82,overcast clouds,0,0
84,Victoria,HK,2020-05-08 22:18:07,22.29,114.16,82.0,78,67,10.0,broken clouds,0,0
85,Mecca,SA,2020-05-08 22:22:32,21.43,39.83,82.02,55,62,0.63,broken clouds,0,0
86,Russell,US,2020-05-08 22:22:47,32.35,-85.2,73.4,53,90,6.93,overcast clouds,0,0
87,Palora,EC,2020-05-08 22:22:47,-1.7,-77.93,69.8,94,90,6.93,light rain,0,0
88,Qaanaaq,GL,2020-05-08 22:19:58,77.48,-69.36,12.99,85,40,5.39,scattered clouds,0,0
89,Kyra,RU,2020-05-08 22:22:47,49.58,111.98,39.79,88,100,5.08,light rain,0,0
90,Bandarbeyla,SO,2020-05-08 22:20:09,9.49,50.81,82.2,75,0,8.32,clear sky,0,0
91,Georgetown,MY,2020-05-08 22:17:08,5.41,100.34,78.8,100,40,6.98,scattered clouds,0,0
92,Khorinsk,RU,2020-05-08 22:22:47,52.17,109.77,38.1,75,100,6.64,overcast clouds,0,0
93,Salalah,OM,2020-05-08 22:22:48,17.02,54.09,82.4,83,20,1.12,few clouds,0,0
94,Lebu,CL,2020-05-08 22:19:58,-37.62,-73.65,59.22,90,100,16.26,light rain,0,0
95,Cururupu,BR,2020-05-08 22:22:48,-1.83,-44.87,76.8,94,97,2.77,light rain,0,0
96,Kuldur,RU,2020-05-08 22:22:48,49.22,131.63,54.36,53,100,1.9,overcast clouds,0,0
97,Carnarvon,AU,2020-05-08 22:19:51,-24.87,113.63,66.0,47,87,20.58,overcast clouds,0,0
