City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
214,Namibe,AO,clear sky,80.76,-15.2,12.15,Chik-Chik Namibe
222,Doha,QA,overcast clouds,84.2,25.29,51.53,Ezdan Hotel
224,Ko Samui,TH,few clouds,84.2,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
225,Lakhipur,IN,clear sky,71.64,26.03,90.3,Rajdhani Hotel
227,Niamtougou,TG,few clouds,78.8,9.77,1.11,Sevebat
228,Ormara,PK,clear sky,80.69,25.21,64.64,
230,Kupang,ID,few clouds,75.2,-10.17,123.58,Sylvia Hotel Premier Kupang
235,Naze,JP,scattered clouds,73.4,28.37,129.48,奄美ポートタワーホテル
238,Campoverde,PE,broken clouds,78.8,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
245,Dicabisagan,PH,broken clouds,79.47,17.08,122.42,
247,Santa Rita,BR,clear sky,77.0,-7.11,-34.98,Infinity Motel
248,Breves,BR,overcast clouds,77.81,-1.68,-50.48,Hotel e Restaurante Grill
251,Veraval,IN,clear sky,81.18,20.9,70.37,Lords Inn Somnath
253,Conde,BR,clear sky,77.0,-7.26,-34.91,Pousada Beija Flor
258,Kulhudhuffushi,MV,broken clouds,84.2,6.62,73.07,Haajy Guest House 1
263,Atambua,ID,clear sky,70.21,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
265,Bengkulu,ID,overcast clouds,77.11,-3.8,102.27,Grage Hotel Bengkulu
275,Praia,CV,broken clouds,73.4,14.92,-23.51,LT Aparthotel
285,San Quintin,MX,clear sky,72.37,30.48,-115.95,Old Mill Hotel
286,Daru,PG,scattered clouds,80.31,-9.08,143.21,New century hotel
287,Graham,US,clear sky,81.0,47.05,-122.29,Moxy Meadows Hostel - Safe Affordable Beds
293,Kuching,MY,few clouds,77.0,1.55,110.33,Hilton Kuching
295,Bom Jardim,BR,scattered clouds,80.6,-7.8,-35.59,Wilton Joaquim 8 wilton
297,Alofi,NU,overcast clouds,82.4,-19.06,-169.92,Taloa Heights
298,Denpasar,ID,scattered clouds,78.8,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
302,San Policarpo,PH,broken clouds,81.54,12.18,125.51,Zal-Ann Beach Resort
304,Cravo Norte,CO,moderate rain,78.22,6.3,-70.2,Hotel El Puerto
312,Quatre Cocos,MU,scattered clouds,71.6,-20.21,57.76,Veranda Palmar Beach Hotel
319,Santa Cruz,BO,clear sky,73.4,-17.8,-63.17,Hotel Cortez
321,Saint-Joseph,RE,broken clouds,71.6,-21.37,55.62,"""Plantation Bed and Breakfast"
323,Petlawad,IN,clear sky,77.38,23.0,74.8,Gurjar Hotel
332,Manokwari,ID,broken clouds,81.5,-0.87,134.08,Swiss Belhotel Manokwari
335,Nuevitas,CU,overcast clouds,84.2,21.55,-77.26,Hotel Caonaba
339,Manggar,ID,light rain,80.96,-2.88,108.27,Guest Hotel
340,Saint-Pierre,RE,broken clouds,71.6,-21.34,55.48,Lindsey Hôtel
341,Luba,GQ,scattered clouds,77.0,3.46,8.55,
343,Hualmay,PE,clear sky,71.11,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
348,Dingle,PH,broken clouds,78.3,11.0,122.67,Camp Pasica
350,Guajara,BR,moderate rain,78.22,-2.97,-57.67,
354,Domoni,KM,broken clouds,79.02,-12.26,44.53,Loulou
362,Lompoc,US,few clouds,78.01,34.64,-120.46,Holiday Inn Express Lompoc
370,Grand-Santi,GF,light rain,75.54,4.25,-54.38,Hotel La Villa Couacou
371,Kahului,US,heavy intensity rain,71.6,20.89,-156.47,Maui Seaside Hotel
372,Avanigadda,IN,clear sky,82.92,16.02,80.92,Hyedar hotal
373,Puerto Leguizamo,CO,moderate rain,74.08,-0.19,-74.78,la casona de juancho
374,Saint-Georges,GD,few clouds,82.4,12.06,-61.75,Radisson Grenada Beach Resort
376,Bubaque,GW,broken clouds,79.36,11.28,-15.83,Casa Dora
387,Bull Savanna,JM,scattered clouds,81.73,17.89,-77.59,Big Red's
391,Buala,SB,light rain,83.86,-8.14,159.59,Maringe Lagoon Lodge
395,Poum,NC,clear sky,73.98,-20.23,164.02,Gîte kajeon
396,Inirida,CO,overcast clouds,75.72,3.87,-67.92,Fuente del Guania Hotel de Lujo
